year,country,sector,emissions
2018,Bhutan,Fugitive Emissions,0
2018,Bhutan,Industrial Processes,0
2018,Bhutan,Land-Use Change and Forestry,0
2018,Bhutan,Other Fuel Combustion,0.37
2018,Bhutan,Total excluding LUCF,0.86
2018,Bhutan,Total including LUCF,0.86
2018,Bhutan,Waste,0.07
2018,Bolivia,Agriculture,18.88
2018,Bolivia,Energy,3.4
2018,Bolivia,Fugitive Emissions,2.94
2018,Bolivia,Industrial Processes,0
2018,Bolivia,Land-Use Change and Forestry,0.94
2018,Bolivia,Other Fuel Combustion,0.46
2018,Bolivia,Total excluding LUCF,25.05
2018,Bolivia,Total including LUCF,25.99
2018,Bolivia,Waste,2.77
2018,Bosnia and Herzegovina,Agriculture,1.48
2018,Bosnia and Herzegovina,Energy,0.77
2018,Bosnia and Herzegovina,Fugitive Emissions,0.7
2018,Bosnia and Herzegovina,Industrial Processes,0
2018,Bosnia and Herzegovina,Land-Use Change and Forestry,0
2018,Bosnia and Herzegovina,Other Fuel Combustion,0.07
2018,Bosnia and Herzegovina,Total excluding LUCF,3.38
2018,Bosnia and Herzegovina,Total including LUCF,3.38
2018,Bosnia and Herzegovina,Waste,1.12
2018,Botswana,Agriculture,2.72
2018,Botswana,Energy,1.62
2018,Botswana,Fugitive Emissions,0.75
2018,Botswana,Industrial Processes,0
2018,Botswana,Land-Use Change and Forestry,0
2018,Botswana,Other Fuel Combustion,0.87
2018,Botswana,Total excluding LUCF,4.56
2018,Botswana,Total including LUCF,4.56
2018,Botswana,Waste,0.22
2018,Brazil,Agriculture,329.92
2018,Brazil,Energy,18.26
2018,Brazil,Fugitive Emissions,6.09
2018,Brazil,Industrial Processes,0.23
2018,Brazil,Land-Use Change and Forestry,1.74
2018,Brazil,Other Fuel Combustion,12.17
2018,Brazil,Total excluding LUCF,416.28
2018,Brazil,Total including LUCF,418.02
2018,Brazil,Waste,67.87
2018,Brunei,Agriculture,0.02
2018,Brunei,Energy,8.65
2018,Brunei,Fugitive Emissions,8.63
2018,Brunei,Industrial Processes,0
2018,Brunei,Land-Use Change and Forestry,0
2018,Brunei,Other Fuel Combustion,0.02
2018,Brunei,Total excluding LUCF,8.83
2018,Brunei,Total including LUCF,8.83
2018,Brunei,Waste,0.16
2018,Bulgaria,Agriculture,1.78
2018,Bulgaria,Energy,1.34
2018,Bulgaria,Fugitive Emissions,1.01
2018,Bulgaria,Industrial Processes,0
2018,Bulgaria,Land-Use Change and Forestry,0
2018,Bulgaria,Other Fuel Combustion,0.33
2018,Bulgaria,Total excluding LUCF,6.91
2018,Bulgaria,Total including LUCF,6.91
2018,Bulgaria,Waste,3.79
2018,Burkina Faso,Agriculture,13.82
2018,Burkina Faso,Energy,1.09
2018,Burkina Faso,Fugitive Emissions,0
2018,Burkina Faso,Industrial Processes,0
2018,Burkina Faso,Land-Use Change and Forestry,0
2018,Burkina Faso,Other Fuel Combustion,1.09
2018,Burkina Faso,Total excluding LUCF,15.6
2018,Burkina Faso,Total including LUCF,15.6
2018,Burkina Faso,Waste,0.68
2018,Burundi,Agriculture,1.58
2018,Burundi,Energy,0.54
2018,Burundi,Fugitive Emissions,0
2018,Burundi,Industrial Processes,0
2018,Burundi,Land-Use Change and Forestry,0
2018,Burundi,Other Fuel Combustion,0.54
2018,Burundi,Total excluding LUCF,2.14
2018,Burundi,Total including LUCF,2.14
2018,Burundi,Waste,0.02
2018,Cambodia,Agriculture,17.1
2018,Cambodia,Energy,2.91
2018,Cambodia,Fugitive Emissions,0
2018,Cambodia,Industrial Processes,0
2018,Cambodia,Land-Use Change and Forestry,1.28
2018,Cambodia,Other Fuel Combustion,2.91
2018,Cambodia,Total excluding LUCF,20.31
2018,Cambodia,Total including LUCF,21.59
2018,Cambodia,Waste,0.29
2018,Cameroon,Agriculture,7.16
2018,Cameroon,Energy,4.45
2018,Cameroon,Fugitive Emissions,0.03
2018,Cameroon,Industrial Processes,0
2018,Cameroon,Land-Use Change and Forestry,0.25
2018,Cameroon,Other Fuel Combustion,4.42
2018,Cameroon,Total excluding LUCF,14.96
2018,Cameroon,Total including LUCF,15.21
2018,Cameroon,Waste,3.35
2018,Canada,Agriculture,24.23
2018,Canada,Energy,52.09
2018,Canada,Fugitive Emissions,45.07
2018,Canada,Industrial Processes,0.08
2018,Canada,Land-Use Change and Forestry,1.55
2018,Canada,Other Fuel Combustion,7.01
2018,Canada,Total excluding LUCF,93.98
2018,Canada,Total including LUCF,95.53
2018,Canada,Waste,17.59
2018,Central African Republic,Agriculture,9.89
2018,Central African Republic,Energy,12.72
2018,Central African Republic,Fugitive Emissions,0
2018,Central African Republic,Industrial Processes,0
2018,Central African Republic,Land-Use Change and Forestry,8.33
2018,Central African Republic,Other Fuel Combustion,12.72
2018,Central African Republic,Total excluding LUCF,23.2
2018,Central African Republic,Total including LUCF,31.54
2018,Central African Republic,Waste,0.59
2018,Chad,Agriculture,45.56
2018,Chad,Energy,6.46
2018,Chad,Fugitive Emissions,5.85
2018,Chad,Industrial Processes,0
2018,Chad,Land-Use Change and Forestry,0.5
2018,Chad,Other Fuel Combustion,0.62
2018,Chad,Total excluding LUCF,53.99
2018,Chad,Total including LUCF,54.49
2018,Chad,Waste,1.97
2018,Chile,Agriculture,5.47
2018,Chile,Energy,3.33
2018,Chile,Fugitive Emissions,1.12
2018,Chile,Industrial Processes,0.06
2018,Chile,Land-Use Change and Forestry,0.02
2018,Chile,Other Fuel Combustion,2.22
2018,Chile,Total excluding LUCF,13.48
2018,Chile,Total including LUCF,13.5
2018,Chile,Waste,4.62
2018,China,Agriculture,331.36
2018,China,Energy,739.58
2018,China,Fugitive Emissions,690.41
2018,China,Industrial Processes,0
2018,China,Land-Use Change and Forestry,0.32
2018,China,Other Fuel Combustion,49.17
2018,China,Total excluding LUCF,1238.63
2018,China,Total including LUCF,1238.95
2018,China,Waste,167.69
2018,Colombia,Agriculture,43.99
2018,Colombia,Energy,17.03
2018,Colombia,Fugitive Emissions,15.56
2018,Colombia,Industrial Processes,0.02
2018,Colombia,Land-Use Change and Forestry,0.42
2018,Colombia,Other Fuel Combustion,1.47
2018,Colombia,Total excluding LUCF,76.7
2018,Colombia,Total including LUCF,77.12
2018,Colombia,Waste,15.65
2018,Comoros,Agriculture,0.24
2018,Comoros,Energy,0.03
2018,Comoros,Fugitive Emissions,0
2018,Comoros,Industrial Processes,0
2018,Comoros,Land-Use Change and Forestry,0
2018,Comoros,Other Fuel Combustion,0.03
2018,Comoros,Total excluding LUCF,0.27
2018,Comoros,Total including LUCF,0.27
2018,Comoros,Waste,0.01
2018,"Congo, Dem. Rep.",Agriculture,12.89
2018,"Congo, Dem. Rep.",Energy,11.05
2018,"Congo, Dem. Rep.",Fugitive Emissions,0.9
2018,"Congo, Dem. Rep.",Industrial Processes,0
2018,"Congo, Dem. Rep.",Land-Use Change and Forestry,10.34
2018,"Congo, Dem. Rep.",Other Fuel Combustion,10.15
2018,"Congo, Dem. Rep.",Total excluding LUCF,38.62
2018,"Congo, Dem. Rep.",Total including LUCF,48.96
2018,"Congo, Dem. Rep.",Waste,14.68
2018,"Congo, Rep.",Agriculture,1.51
2018,"Congo, Rep.",Energy,1.38
2018,"Congo, Rep.",Fugitive Emissions,0.19
2018,"Congo, Rep.",Industrial Processes,0
2018,"Congo, Rep.",Land-Use Change and Forestry,0.21
2018,"Congo, Rep.",Other Fuel Combustion,1.19
2018,"Congo, Rep.",Total excluding LUCF,3.54
2018,"Congo, Rep.",Total including LUCF,3.76
2018,"Congo, Rep.",Waste,0.65
2018,Costa Rica,Agriculture,2.42
2018,Costa Rica,Energy,0.38
2018,Costa Rica,Fugitive Emissions,0
2018,Costa Rica,Industrial Processes,0
2018,Costa Rica,Land-Use Change and Forestry,0.01
2018,Costa Rica,Other Fuel Combustion,0.38
2018,Costa Rica,Total excluding LUCF,4.82
2018,Costa Rica,Total including LUCF,4.83
2018,Costa Rica,Waste,2.01
2018,Croatia,Agriculture,1.46
2018,Croatia,Energy,0.57
2018,Croatia,Fugitive Emissions,0.2
2018,Croatia,Industrial Processes,0
2018,Croatia,Land-Use Change and Forestry,0
2018,Croatia,Other Fuel Combustion,0.38
2018,Croatia,Total excluding LUCF,3.82
2018,Croatia,Total including LUCF,3.82
2018,Croatia,Waste,1.78
2018,Cuba,Agriculture,7.49
2018,Cuba,Energy,2.23
2018,Cuba,Fugitive Emissions,1.91
2018,Cuba,Industrial Processes,0
2018,Cuba,Land-Use Change and Forestry,0.01
2018,Cuba,Other Fuel Combustion,0.31
2018,Cuba,Total excluding LUCF,12.69
2018,Cuba,Total including LUCF,12.7
2018,Cuba,Waste,2.98
2018,Cyprus,Agriculture,0.19
2018,Cyprus,Energy,0.02
2018,Cyprus,Fugitive Emissions,0
2018,Cyprus,Industrial Processes,0
2018,Cyprus,Land-Use Change and Forestry,0
2018,Cyprus,Other Fuel Combustion,0.02
2018,Cyprus,Total excluding LUCF,0.74
2018,Cyprus,Total including LUCF,0.74
2018,Cyprus,Waste,0.53
2018,Czech Republic,Agriculture,3.01
2018,Czech Republic,Energy,4.89
2018,Czech Republic,Fugitive Emissions,3.92
2018,Czech Republic,Industrial Processes,0.04
2018,Czech Republic,Land-Use Change and Forestry,0
2018,Czech Republic,Other Fuel Combustion,0.97
2018,Czech Republic,Total excluding LUCF,12.43
2018,Czech Republic,Total including LUCF,12.43
2018,Czech Republic,Waste,4.5
2018,Denmark,Agriculture,6.09
2018,Denmark,Energy,0.36
2018,Denmark,Fugitive Emissions,0.1
2018,Denmark,Industrial Processes,0
2018,Denmark,Land-Use Change and Forestry,0
2018,Denmark,Other Fuel Combustion,0.27
2018,Denmark,Total excluding LUCF,7.14
2018,Denmark,Total including LUCF,7.14
2018,Denmark,Waste,0.68
2018,Djibouti,Agriculture,0.47
2018,Djibouti,Energy,0.03
2018,Djibouti,Fugitive Emissions,0
2018,Djibouti,Industrial Processes,0
2018,Djibouti,Land-Use Change and Forestry,0
2018,Djibouti,Other Fuel Combustion,0.03
2018,Djibouti,Total excluding LUCF,0.69
2018,Djibouti,Total including LUCF,0.69
2018,Djibouti,Waste,0.19
2018,Dominica,Agriculture,0.03
2018,Dominica,Energy,0
2018,Dominica,Fugitive Emissions,0
2018,Dominica,Industrial Processes,0
2018,Dominica,Land-Use Change and Forestry,0
2018,Dominica,Other Fuel Combustion,0
2018,Dominica,Total excluding LUCF,0.05
2018,Dominica,Total including LUCF,0.05
2018,Dominica,Waste,0.02
2018,Dominican Republic,Agriculture,6.22
2018,Dominican Republic,Energy,0.49
2018,Dominican Republic,Fugitive Emissions,0.11
2018,Dominican Republic,Industrial Processes,0
2018,Dominican Republic,Land-Use Change and Forestry,0
2018,Dominican Republic,Other Fuel Combustion,0.37
2018,Dominican Republic,Total excluding LUCF,9.2
2018,Dominican Republic,Total including LUCF,9.2
2018,Dominican Republic,Waste,2.5
2018,Ecuador,Agriculture,8.05
2018,Ecuador,Energy,0.66
2018,Ecuador,Fugitive Emissions,0.04
2018,Ecuador,Industrial Processes,0
2018,Ecuador,Land-Use Change and Forestry,0
2018,Ecuador,Other Fuel Combustion,0.63
2018,Ecuador,Total excluding LUCF,20.35
2018,Ecuador,Total including LUCF,20.35
2018,Ecuador,Waste,11.63
2018,Egypt,Agriculture,15.05
2018,Egypt,Energy,13.86
2018,Egypt,Fugitive Emissions,12.28
2018,Egypt,Industrial Processes,0
2018,Egypt,Land-Use Change and Forestry,0
2018,Egypt,Other Fuel Combustion,1.58
2018,Egypt,Total excluding LUCF,56.87
2018,Egypt,Total including LUCF,56.87
2018,Egypt,Waste,27.97
2018,El Salvador,Agriculture,1.45
2018,El Salvador,Energy,0.54
2018,El Salvador,Fugitive Emissions,0
2018,El Salvador,Industrial Processes,0
2018,El Salvador,Land-Use Change and Forestry,0
2018,El Salvador,Other Fuel Combustion,0.54
2018,El Salvador,Total excluding LUCF,3.99
2018,El Salvador,Total including LUCF,3.99
2018,El Salvador,Waste,1.99
2018,Equatorial Guinea,Agriculture,0.01
2018,Equatorial Guinea,Energy,12
2018,Equatorial Guinea,Fugitive Emissions,11.96
2018,Equatorial Guinea,Industrial Processes,0
2018,Equatorial Guinea,Land-Use Change and Forestry,0
2018,Equatorial Guinea,Other Fuel Combustion,0.04
2018,Equatorial Guinea,Total excluding LUCF,12.23
2018,Equatorial Guinea,Total including LUCF,12.23
2018,Equatorial Guinea,Waste,0.21
2018,Eritrea,Agriculture,2.99
2018,Eritrea,Energy,0.19
2018,Eritrea,Fugitive Emissions,0
2018,Eritrea,Industrial Processes,0
2018,Eritrea,Land-Use Change and Forestry,0
2018,Eritrea,Other Fuel Combustion,0.19
2018,Eritrea,Total excluding LUCF,3.73
2018,Eritrea,Total including LUCF,3.73
2018,Eritrea,Waste,0.55
2018,Estonia,Agriculture,0.64
2018,Estonia,Energy,0.19
2018,Estonia,Fugitive Emissions,0.02
2018,Estonia,Industrial Processes,0
2018,Estonia,Land-Use Change and Forestry,0
2018,Estonia,Other Fuel Combustion,0.17
2018,Estonia,Total excluding LUCF,1.05
2018,Estonia,Total including LUCF,1.05
2018,Estonia,Waste,0.22
2018,Eswatini,Agriculture,0.61
2018,Eswatini,Energy,0.3
2018,Eswatini,Fugitive Emissions,0.09
2018,Eswatini,Industrial Processes,0
2018,Eswatini,Land-Use Change and Forestry,0
2018,Eswatini,Other Fuel Combustion,0.22
2018,Eswatini,Total excluding LUCF,1.5
2018,Eswatini,Total including LUCF,1.51
2018,Eswatini,Waste,0.59
2018,Ethiopia,Agriculture,68.35
2018,Ethiopia,Energy,31.16
2018,Ethiopia,Fugitive Emissions,0
2018,Ethiopia,Industrial Processes,0
2018,Ethiopia,Land-Use Change and Forestry,0.35
2018,Ethiopia,Other Fuel Combustion,31.16
2018,Ethiopia,Total excluding LUCF,103.11
2018,Ethiopia,Total including LUCF,103.46
2018,Ethiopia,Waste,3.6
2018,European Union (27),Agriculture,216.4
2018,European Union (27),Energy,77.73
2018,European Union (27),Fugitive Emissions,54.27
2018,European Union (27),Industrial Processes,1.5
2018,European Union (27),Land-Use Change and Forestry,0.03
2018,European Union (27),Other Fuel Combustion,23.45
2018,European Union (27),Total excluding LUCF,396.8
2018,European Union (27),Total including LUCF,396.83
2018,European Union (27),Waste,101.17
2018,Fiji,Agriculture,0.23
2018,Fiji,Energy,0.33
2018,Fiji,Fugitive Emissions,0
2018,Fiji,Industrial Processes,0
2018,Fiji,Land-Use Change and Forestry,0
2018,Fiji,Other Fuel Combustion,0.33
2018,Fiji,Total excluding LUCF,0.67
2018,Fiji,Total including LUCF,0.67
2018,Fiji,Waste,0.12
2018,Finland,Agriculture,2.21
2018,Finland,Energy,0.29
2018,Finland,Fugitive Emissions,0.03
2018,Finland,Industrial Processes,0
2018,Finland,Land-Use Change and Forestry,0
2018,Finland,Other Fuel Combustion,0.26
2018,Finland,Total excluding LUCF,4.24
2018,Finland,Total including LUCF,4.24
2018,Finland,Waste,1.74
2018,France,Agriculture,41.38
2018,France,Energy,2.99
2018,France,Fugitive Emissions,1.26
2018,France,Industrial Processes,0.05
2018,France,Land-Use Change and Forestry,0
2018,France,Other Fuel Combustion,1.73
2018,France,Total excluding LUCF,58.34
2018,France,Total including LUCF,58.34
2018,France,Waste,13.91
2018,Gabon,Agriculture,0.18
2018,Gabon,Energy,0.25
2018,Gabon,Fugitive Emissions,0.16
2018,Gabon,Industrial Processes,0
2018,Gabon,Land-Use Change and Forestry,0.02
2018,Gabon,Other Fuel Combustion,0.09
2018,Gabon,Total excluding LUCF,1.12
2018,Gabon,Total including LUCF,1.14
2018,Gabon,Waste,0.69
2018,Gambia,Agriculture,0.94
2018,Gambia,Energy,0.38
2018,Gambia,Fugitive Emissions,0
2018,Gambia,Industrial Processes,0
2018,Gambia,Land-Use Change and Forestry,0
2018,Gambia,Other Fuel Combustion,0.38
2018,Gambia,Total excluding LUCF,1.7
2018,Gambia,Total including LUCF,1.7
2018,Gambia,Waste,0.38
2018,Georgia,Agriculture,1.1
2018,Georgia,Energy,0.98
2018,Georgia,Fugitive Emissions,0.9
2018,Georgia,Industrial Processes,0
2018,Georgia,Land-Use Change and Forestry,0
2018,Georgia,Other Fuel Combustion,0.08
2018,Georgia,Total excluding LUCF,5.21
2018,Georgia,Total including LUCF,5.21
2018,Georgia,Waste,3.13
2018,Germany,Agriculture,32.61
2018,Germany,Energy,12.16
2018,Germany,Fugitive Emissions,7.51
2018,Germany,Industrial Processes,0.5
2018,Germany,Land-Use Change and Forestry,0
2018,Germany,Other Fuel Combustion,4.66
2018,Germany,Total excluding LUCF,53.37
2018,Germany,Total including LUCF,53.37
2018,Germany,Waste,8.1
2018,Ghana,Agriculture,5.16
2018,Ghana,Energy,12.79
2018,Ghana,Fugitive Emissions,6.28
2018,Ghana,Industrial Processes,0
2018,Ghana,Land-Use Change and Forestry,0.02
2018,Ghana,Other Fuel Combustion,6.51
2018,Ghana,Total excluding LUCF,21.35
2018,Ghana,Total including LUCF,21.37
2018,Ghana,Waste,3.41
2018,Greece,Agriculture,4.39
2018,Greece,Energy,1.04
2018,Greece,Fugitive Emissions,0.84
2018,Greece,Industrial Processes,0
2018,Greece,Land-Use Change and Forestry,0
2018,Greece,Other Fuel Combustion,0.2
2018,Greece,Total excluding LUCF,9.67
2018,Greece,Total including LUCF,9.67
2018,Greece,Waste,4.24
2018,Grenada,Agriculture,0.01
2018,Grenada,Energy,0
2018,Grenada,Fugitive Emissions,0
2018,Grenada,Industrial Processes,0
2018,Grenada,Land-Use Change and Forestry,0
2018,Grenada,Other Fuel Combustion,0
2018,Grenada,Total excluding LUCF,2.03
2018,Grenada,Total including LUCF,2.03
2018,Grenada,Waste,2.02
2018,Guatemala,Agriculture,6.27
2018,Guatemala,Energy,3.88
2018,Guatemala,Fugitive Emissions,0.01
2018,Guatemala,Industrial Processes,0
2018,Guatemala,Land-Use Change and Forestry,0.01
2018,Guatemala,Other Fuel Combustion,3.88
2018,Guatemala,Total excluding LUCF,11.75
2018,Guatemala,Total including LUCF,11.76
2018,Guatemala,Waste,1.59
2018,Guinea,Agriculture,13.44
2018,Guinea,Energy,2.44
2018,Guinea,Fugitive Emissions,0
2018,Guinea,Industrial Processes,0
2018,Guinea,Land-Use Change and Forestry,0.02
2018,Guinea,Other Fuel Combustion,2.44
2018,Guinea,Total excluding LUCF,17.83
2018,Guinea,Total including LUCF,17.86
2018,Guinea,Waste,1.95
2018,Guinea-Bissau,Agriculture,1.19
2018,Guinea-Bissau,Energy,0.21
2018,Guinea-Bissau,Fugitive Emissions,0
2018,Guinea-Bissau,Industrial Processes,0
2018,Guinea-Bissau,Land-Use Change and Forestry,0.08
2018,Guinea-Bissau,Other Fuel Combustion,0.21
2018,Guinea-Bissau,Total excluding LUCF,1.5
2018,Guinea-Bissau,Total including LUCF,1.57
2018,Guinea-Bissau,Waste,0.09
2018,Guyana,Agriculture,1.33
2018,Guyana,Energy,0.07
2018,Guyana,Fugitive Emissions,0
2018,Guyana,Industrial Processes,0
2018,Guyana,Land-Use Change and Forestry,0
2018,Guyana,Other Fuel Combustion,0.07
2018,Guyana,Total excluding LUCF,1.54
2018,Guyana,Total including LUCF,1.55
2018,Guyana,Waste,0.15
2018,Haiti,Agriculture,3.1
2018,Haiti,Energy,0.23
2018,Haiti,Fugitive Emissions,0
2018,Haiti,Industrial Processes,0
2018,Haiti,Land-Use Change and Forestry,0
2018,Haiti,Other Fuel Combustion,0.23
2018,Haiti,Total excluding LUCF,4.73
2018,Haiti,Total including LUCF,4.73
2018,Haiti,Waste,1.4
2018,Honduras,Agriculture,4.61
2018,Honduras,Energy,1.05
2018,Honduras,Fugitive Emissions,0
2018,Honduras,Industrial Processes,0
2018,Honduras,Land-Use Change and Forestry,0.1
2018,Honduras,Other Fuel Combustion,1.05
2018,Honduras,Total excluding LUCF,8.15
2018,Honduras,Total including LUCF,8.25
2018,Honduras,Waste,2.49
2018,Hungary,Agriculture,2.51
2018,Hungary,Energy,1.39
2018,Hungary,Fugitive Emissions,0.72
2018,Hungary,Industrial Processes,0.04
2018,Hungary,Land-Use Change and Forestry,0
2018,Hungary,Other Fuel Combustion,0.67
2018,Hungary,Total excluding LUCF,7.12
2018,Hungary,Total including LUCF,7.12
2018,Hungary,Waste,3.17
2018,Iceland,Agriculture,0.31
2018,Iceland,Energy,0.01
2018,Iceland,Fugitive Emissions,0
2018,Iceland,Industrial Processes,0
2018,Iceland,Land-Use Change and Forestry,0
2018,Iceland,Other Fuel Combustion,0
2018,Iceland,Total excluding LUCF,0.53
2018,Iceland,Total including LUCF,0.53
2018,Iceland,Waste,0.21
2018,India,Agriculture,498.49
2018,India,Energy,99.08
2018,India,Fugitive Emissions,52.97
2018,India,Industrial Processes,0.13
2018,India,Land-Use Change and Forestry,2.83
